,mort,GDPc,clusters,index,res,Country,ISO-code
251,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
252,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
253,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
254,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
255,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
256,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
257,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
258,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
259,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
260,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
261,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
262,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
263,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
264,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
265,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
266,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
267,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
268,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
269,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
270,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
271,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
272,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
273,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
274,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
275,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
276,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
277,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
278,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
279,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
280,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
281,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
282,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
283,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
284,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
285,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
286,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
287,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
288,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
289,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
290,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
291,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
292,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
293,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
294,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
295,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
296,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
297,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
298,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
299,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
300,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
301,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
302,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
303,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
304,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
305,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
306,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
307,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
308,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
309,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
310,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
311,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
312,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
313,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
314,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
315,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
316,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
317,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
318,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
319,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
320,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
321,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
322,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
323,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
324,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
325,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
326,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
327,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
328,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
329,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
330,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
